epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.1983,1.89507,3.52705,0.02083,0.00446,0.88623,0.17362,0.07672,1.54663,3.53882,0.01697,0.000653061,0.000653061,0.000653061
2,45.7501,1.78318,2.80532,0.0185,0.47276,0.38123,0.37475,0.19663,1.64296,2.76251,0.01871,0.00131922,0.00131922,0.00131922
3,67.7644,1.75952,2.59295,0.01844,0.39085,0.44311,0.3685,0.19367,1.71041,2.65489,0.01925,0.00198336,0.00198336,0.00198336
4,90.4871,1.74517,2.4614,0.01842,0.47637,0.46108,0.45977,0.22823,1.7236,2.47018,0.0209,0.00199314,0.00199314,0.00199314
5,112.916,1.73789,2.28811,0.01827,0.44804,0.46177,0.42134,0.21145,1.83039,2.15945,0.02062,0.00198781,0.00198781,0.00198781
6,135.448,1.75154,2.15836,0.01815,0.50583,0.55689,0.52003,0.26018,1.62988,2.14196,0.01844,0.00198098,0.00198098,0.00198098
7,157.791,1.75576,2.10912,0.01959,0.4545,0.54382,0.45794,0.1882,1.76315,2.26709,0.02164,0.00197265,0.00197265,0.00197265
8,180.438,1.71571,1.93162,0.01793,0.57086,0.53293,0.59378,0.28339,1.76082,1.8206,0.01974,0.00196283,0.00196283,0.00196283
9,202.987,1.74189,1.85498,0.01904,0.60594,0.62275,0.62233,0.29759,1.74862,1.66788,0.01927,0.00195155,0.00195155,0.00195155
10,226.051,1.75792,1.71517,0.01796,0.57127,0.54491,0.57312,0.28322,1.73678,1.73159,0.02102,0.00193881,0.00193881,0.00193881
11,248.747,1.70659,1.70012,0.01756,0.73505,0.56484,0.68195,0.33308,1.76651,1.55907,0.01949,0.00192464,0.00192464,0.00192464
12,271.528,1.71087,1.57231,0.01764,0.74917,0.59281,0.70451,0.32795,1.73022,1.53825,0.02074,0.00190906,0.00190906,0.00190906
13,294.12,1.71853,1.57923,0.01754,0.68448,0.61055,0.6893,0.3555,1.70055,1.29681,0.01777,0.0018921,0.0018921,0.0018921
14,317.185,1.70093,1.50476,0.01814,0.81371,0.58683,0.72354,0.37133,1.69821,1.32949,0.01912,0.00187377,0.00187377,0.00187377
15,340.228,1.70363,1.43452,0.01664,0.65848,0.64072,0.69609,0.36004,1.75508,1.3261,0.01937,0.00185411,0.00185411,0.00185411
16,362.973,1.70411,1.40634,0.01786,0.72591,0.64072,0.72501,0.37875,1.68504,1.1714,0.01822,0.00183315,0.00183315,0.00183315
17,385.871,1.6185,1.32342,0.01632,0.7206,0.67665,0.74098,0.38262,1.66436,1.21155,0.01686,0.00181093,0.00181093,0.00181093
18,409.039,1.63046,1.33686,0.01635,0.79799,0.65868,0.77128,0.38404,1.70592,1.19507,0.01835,0.00178746,0.00178746,0.00178746
19,433.148,1.63517,1.3705,0.01628,0.66733,0.7087,0.75121,0.37018,1.70847,1.17314,0.0182,0.0017628,0.0017628,0.0017628
20,457.416,1.61773,1.35141,0.0164,0.74931,0.73384,0.77107,0.40378,1.61118,1.14799,0.01705,0.00173698,0.00173698,0.00173698
21,480.33,1.58338,1.31766,0.01629,0.8087,0.66467,0.76404,0.40074,1.68472,1.14705,0.01774,0.00171004,0.00171004,0.00171004
22,503.639,1.54941,1.25047,0.01579,0.70731,0.70659,0.76123,0.40585,1.62967,1.12786,0.01777,0.00168201,0.00168201,0.00168201
23,527.344,1.53892,1.18671,0.01515,0.73299,0.70683,0.75383,0.39891,1.61975,1.10527,0.0172,0.00165295,0.00165295,0.00165295
24,550.603,1.54409,1.25458,0.01451,0.75095,0.67665,0.75564,0.41001,1.67238,1.11349,0.01767,0.0016229,0.0016229,0.0016229
25,574.345,1.54897,1.18558,0.01501,0.80274,0.65796,0.74007,0.41338,1.61921,1.14199,0.01673,0.00159191,0.00159191,0.00159191
26,597.373,1.5488,1.19748,0.0151,0.72748,0.76726,0.80275,0.42176,1.6535,1.05783,0.01774,0.00156001,0.00156001,0.00156001
27,621.04,1.55223,1.15698,0.01515,0.75782,0.76824,0.81334,0.43989,1.60099,0.99035,0.01662,0.00152727,0.00152727,0.00152727
28,644.057,1.55324,1.14115,0.01471,0.80572,0.72019,0.79695,0.39962,1.75448,1.04541,0.01897,0.00149374,0.00149374,0.00149374
29,667.575,1.50533,1.13712,0.01495,0.85476,0.71856,0.80967,0.42862,1.61871,1.02918,0.01678,0.00145945,0.00145945,0.00145945
30,690.64,1.51517,1.12284,0.01473,0.84234,0.70659,0.81939,0.4629,1.48804,0.96147,0.01549,0.00142447,0.00142447,0.00142447
31,714.255,1.47964,1.06341,0.01442,0.83844,0.73653,0.82795,0.45951,1.57908,0.95162,0.01761,0.00138886,0.00138886,0.00138886
32,738.333,1.45853,1.06936,0.01432,0.80656,0.72455,0.81444,0.46576,1.54341,0.88818,0.01567,0.00135266,0.00135266,0.00135266
33,762.359,1.49265,1.08445,0.0146,0.7753,0.7485,0.8231,0.46697,1.56102,0.89293,0.01672,0.00131593,0.00131593,0.00131593
34,785.745,1.43307,1.05195,0.01396,0.81662,0.71257,0.81566,0.46965,1.5207,0.96637,0.01525,0.00127873,0.00127873,0.00127873
35,810.404,1.44528,1.01137,0.01405,0.84833,0.73683,0.85702,0.49246,1.4924,0.90712,0.01533,0.00124111,0.00124111,0.00124111
36,833.61,1.36756,0.9914,0.01335,0.81671,0.76048,0.84744,0.47555,1.57607,0.86309,0.01658,0.00120314,0.00120314,0.00120314
37,857.226,1.44034,1.05136,0.0138,0.79506,0.77246,0.85142,0.48771,1.47845,0.85675,0.01521,0.00116487,0.00116487,0.00116487
38,880.919,1.35567,1.00297,0.0134,0.77552,0.79042,0.83807,0.4926,1.48852,0.8698,0.01523,0.00112636,0.00112636,0.00112636
39,904.54,1.45385,1.0278,0.0139,0.8347,0.76647,0.84044,0.48315,1.51276,0.89298,0.01635,0.00108767,0.00108767,0.00108767
40,927.822,1.35276,0.9425,0.01317,0.87033,0.70659,0.82749,0.48166,1.543,0.90909,0.01548,0.00104887,0.00104887,0.00104887
41,951.419,1.41645,0.97984,0.01307,0.77113,0.80701,0.83312,0.48948,1.48809,0.92485,0.01458,0.00101,0.00101,0.00101
42,975.044,1.38629,0.91651,0.01274,0.82545,0.76457,0.84529,0.48757,1.4949,0.85879,0.01509,0.000971133,0.000971133,0.000971133
43,998.361,1.3601,0.9251,0.01239,0.80604,0.79629,0.85663,0.49511,1.467,0.85082,0.01472,0.000932325,0.000932325,0.000932325
44,1021.13,1.40464,0.90142,0.01385,0.84366,0.76647,0.85248,0.50639,1.41979,0.89,0.01407,0.000893638,0.000893638,0.000893638
45,1044.69,1.33027,0.90452,0.01236,0.82373,0.78443,0.83944,0.49248,1.45832,0.88649,0.01471,0.00085513,0.00085513,0.00085513
46,1068.14,1.32444,0.90835,0.01222,0.80799,0.82036,0.87143,0.52172,1.43783,0.80849,0.01439,0.000816861,0.000816861,0.000816861
47,1091.84,1.31044,0.84753,0.01251,0.84509,0.784,0.87575,0.50329,1.49618,0.80592,0.01604,0.000778889,0.000778889,0.000778889
48,1115.23,1.34223,0.89948,0.01229,0.9034,0.728,0.86899,0.50629,1.43008,0.83785,0.01457,0.000741274,0.000741274,0.000741274
49,1139.22,1.26746,0.84917,0.01187,0.84262,0.78443,0.87152,0.52785,1.44872,0.81329,0.01475,0.000704073,0.000704073,0.000704073
50,1163.38,1.33426,0.85451,0.01235,0.87374,0.74593,0.85015,0.49635,1.47388,0.86023,0.01508,0.000667344,0.000667344,0.000667344
51,1187.22,1.24951,0.82768,0.01198,0.83078,0.79378,0.86084,0.51459,1.46838,0.81984,0.01459,0.000631143,0.000631143,0.000631143
52,1210.44,1.27027,0.83329,0.01173,0.84431,0.80838,0.86069,0.50956,1.44562,0.78923,0.01452,0.000595527,0.000595527,0.000595527
53,1234.5,1.26156,0.82505,0.01166,0.81212,0.8024,0.84774,0.50068,1.47878,0.78917,0.0151,0.000560549,0.000560549,0.000560549
54,1257.72,1.26964,0.83817,0.01151,0.8117,0.78443,0.86171,0.50178,1.463,0.80508,0.01483,0.000526265,0.000526265,0.000526265
55,1281.67,1.22423,0.79675,0.0116,0.83468,0.75584,0.85406,0.5119,1.426,0.81442,0.014,0.000492726,0.000492726,0.000492726
56,1305.6,1.27796,0.83487,0.01159,0.83943,0.78261,0.86465,0.5171,1.42429,0.77941,0.01415,0.000459985,0.000459985,0.000459985
57,1329.02,1.27504,0.8557,0.01096,0.86216,0.78443,0.87146,0.53053,1.40121,0.76915,0.01372,0.000428093,0.000428093,0.000428093
58,1352.97,1.20675,0.74734,0.01086,0.84909,0.77493,0.86747,0.53053,1.40334,0.74523,0.01364,0.000397097,0.000397097,0.000397097
59,1376.53,1.21949,0.80525,0.0107,0.83354,0.77844,0.86962,0.5253,1.42129,0.73195,0.01379,0.000367046,0.000367046,0.000367046
60,1400.4,1.15422,0.78232,0.01037,0.85393,0.77246,0.86704,0.52757,1.40943,0.75916,0.01378,0.000337987,0.000337987,0.000337987
61,1424.51,1.24892,0.8031,0.01076,0.83914,0.8024,0.87328,0.528,1.40683,0.69231,0.01365,0.000309964,0.000309964,0.000309964
62,1448.35,1.23511,0.79085,0.01107,0.87094,0.77844,0.87648,0.52192,1.42385,0.7091,0.0139,0.000283021,0.000283021,0.000283021
63,1472.11,1.21983,0.76656,0.01054,0.83866,0.77246,0.86697,0.51686,1.43392,0.73537,0.01416,0.000257198,0.000257198,0.000257198
64,1495.5,1.18399,0.80337,0.01031,0.84737,0.81437,0.87475,0.51887,1.41888,0.7434,0.01393,0.000232536,0.000232536,0.000232536
65,1519.24,1.18342,0.75655,0.01027,0.84165,0.79566,0.86498,0.50957,1.42151,0.75117,0.01392,0.000209073,0.000209073,0.000209073
66,1542.83,1.21332,0.7731,0.01015,0.84808,0.80226,0.86477,0.51459,1.41065,0.73748,0.01357,0.000186845,0.000186845,0.000186845
