epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,12.1131,0.45799,0.88462,1,0.3385,0.000543319,0.000543319,0.000543319
2,25.2364,0.39716,0.85897,1,0.3566,0.00107723,0.00107723,0.00107723
3,39.1788,0.42569,0.85256,1,0.38433,0.00158913,0.00158913,0.00158913
4,54.1772,0.38989,0.87179,1,0.3655,0.00156798,0.00156798,0.00156798
5,71.8853,0.36944,0.89103,1,0.46003,0.00153497,0.00153497,0.00153497
6,90.5882,0.35462,0.87821,1,0.32104,0.00150197,0.00150197,0.00150197
7,107.713,0.34157,0.92308,1,0.27113,0.00146896,0.00146896,0.00146896
8,125.874,0.3094,0.90385,1,0.26959,0.00143595,0.00143595,0.00143595
9,145.181,0.34692,0.88462,1,0.3485,0.00140295,0.00140295,0.00140295
10,166.006,0.29622,0.92308,1,0.24612,0.00136994,0.00136994,0.00136994
11,185.389,0.324,0.90385,1,0.30344,0.00133693,0.00133693,0.00133693
12,207.151,0.3104,0.87179,1,0.3136,0.00130393,0.00130393,0.00130393
13,230.111,0.27902,0.91667,1,0.23145,0.00127092,0.00127092,0.00127092
14,253.469,0.24579,0.89744,1,0.26203,0.00123791,0.00123791,0.00123791
15,276.232,0.30161,0.91667,1,0.23723,0.00120491,0.00120491,0.00120491
16,301.951,0.25633,0.9359,1,0.23836,0.0011719,0.0011719,0.0011719
17,323.775,0.23756,0.90385,1,0.29137,0.00113889,0.00113889,0.00113889
18,346.792,0.23263,0.91667,1,0.25399,0.00110589,0.00110589,0.00110589
19,366.943,0.27535,0.91667,1,0.26221,0.00107288,0.00107288,0.00107288
20,386.428,0.23983,0.91667,1,0.26401,0.00103987,0.00103987,0.00103987
21,405.875,0.21624,0.92308,1,0.24473,0.00100687,0.00100687,0.00100687
22,426.817,0.23842,0.91667,1,0.26146,0.000973861,0.000973861,0.000973861
23,445.922,0.22545,0.91026,1,0.2531,0.000940855,0.000940855,0.000940855
24,466.301,0.18008,0.90385,1,0.29059,0.000907848,0.000907848,0.000907848
25,488.874,0.2556,0.91667,1,0.25913,0.000874842,0.000874842,0.000874842
26,512.279,0.23691,0.92308,1,0.24205,0.000841835,0.000841835,0.000841835
