epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.3137,1.57379,3.61548,0.02048,0.00525,0.85874,0.18289,0.10349,1.3842,4.21752,0.01889,0.000655367,0.000655367,0.000655367
2,56.3006,1.53751,2.89502,0.01967,0.33406,0.29244,0.25002,0.09238,1.78353,3.61113,0.02769,0.00132197,0.00132197,0.00132197
3,82.4735,1.6634,2.65791,0.0216,0.35032,0.26233,0.2171,0.08099,1.87198,3.56958,0.02795,0.0019883,0.0019883,0.0019883
4,107.516,1.70143,2.35484,0.02212,0.47852,0.47309,0.41076,0.17689,1.82692,2.40687,0.02744,0.00199909,0.00199909,0.00199909
5,133.142,1.69556,2.09966,0.02291,0.52654,0.45067,0.44785,0.20193,1.79376,2.26969,0.02664,0.00199839,0.00199839,0.00199839
6,156.974,1.66362,1.94342,0.02216,0.59582,0.47926,0.5263,0.25663,1.77221,2.00949,0.02584,0.00199748,0.00199748,0.00199748
7,183.266,1.68605,1.91844,0.02216,0.46021,0.49552,0.4057,0.1768,1.89457,2.06075,0.03199,0.00199637,0.00199637,0.00199637
8,209.172,1.65893,1.78204,0.02138,0.61526,0.54484,0.56892,0.23975,1.98292,1.80656,0.03285,0.00199506,0.00199506,0.00199506
9,239.025,1.6049,1.71559,0.02128,0.73896,0.54933,0.63575,0.31929,1.76517,1.56864,0.02641,0.00199355,0.00199355,0.00199355
10,268.16,1.63689,1.65554,0.02144,0.67087,0.57585,0.62517,0.3202,1.65042,1.61614,0.02442,0.00199184,0.00199184,0.00199184
11,299.067,1.57631,1.55882,0.02039,0.69586,0.65919,0.69647,0.33802,1.71639,1.36436,0.02527,0.00198992,0.00198992,0.00198992
12,327.096,1.61512,1.56653,0.02159,0.65017,0.56726,0.61199,0.2888,1.76028,1.56845,0.02696,0.00198781,0.00198781,0.00198781
13,356.225,1.5508,1.57503,0.02023,0.66371,0.53546,0.59206,0.29119,1.70663,1.62662,0.02447,0.0019855,0.0019855,0.0019855
14,385.992,1.6137,1.54634,0.02128,0.78601,0.59865,0.68981,0.3766,1.64502,1.41724,0.02295,0.00198299,0.00198299,0.00198299
15,419.161,1.57439,1.49654,0.0203,0.66067,0.59193,0.64936,0.33873,1.67732,1.47874,0.02439,0.00198028,0.00198028,0.00198028
16,448.181,1.55249,1.49594,0.02029,0.79451,0.65471,0.73739,0.3509,1.8028,1.33726,0.02729,0.00197738,0.00197738,0.00197738
17,472.955,1.59702,1.44005,0.02116,0.73259,0.71255,0.74258,0.34904,1.78238,1.27086,0.02606,0.00197427,0.00197427,0.00197427
18,494.851,1.56522,1.43553,0.02002,0.76675,0.60438,0.70543,0.36983,1.53234,1.29527,0.02124,0.00197097,0.00197097,0.00197097
19,521.877,1.50864,1.38053,0.01905,0.7073,0.59865,0.68517,0.38353,1.63141,1.40506,0.0241,0.00196748,0.00196748,0.00196748
20,551.443,1.50729,1.35721,0.01895,0.78628,0.70118,0.77179,0.42005,1.64822,1.15297,0.02265,0.00196378,0.00196378,0.00196378
21,579.721,1.52441,1.3248,0.01933,0.74088,0.69877,0.76123,0.41216,1.63755,1.1724,0.02288,0.0019599,0.0019599,0.0019599
22,611.353,1.45677,1.31177,0.01834,0.76841,0.58773,0.70384,0.40641,1.52956,1.30945,0.02129,0.00195582,0.00195582,0.00195582
23,640.107,1.49518,1.34615,0.01846,0.71901,0.65695,0.7178,0.3996,1.6342,1.30931,0.02367,0.00195155,0.00195155,0.00195155
24,667.401,1.48793,1.30263,0.01857,0.71735,0.71076,0.75479,0.39414,1.67649,1.29925,0.0236,0.00194708,0.00194708,0.00194708
25,694.611,1.44803,1.26335,0.0186,0.78924,0.70529,0.78546,0.42085,1.60799,1.17715,0.02178,0.00194243,0.00194243,0.00194243
26,721.557,1.47678,1.28827,0.01821,0.78165,0.69283,0.76882,0.4311,1.55266,1.12296,0.02216,0.00193758,0.00193758,0.00193758
27,748.563,1.49716,1.27187,0.01849,0.77738,0.73318,0.77856,0.43872,1.57085,1.16509,0.02211,0.00193255,0.00193255,0.00193255
28,775.322,1.48498,1.23184,0.01841,0.83193,0.70179,0.79396,0.43717,1.57628,1.06915,0.02206,0.00192732,0.00192732,0.00192732
29,802.336,1.45394,1.19896,0.0182,0.82242,0.6704,0.77862,0.43726,1.57001,1.07654,0.02157,0.00192191,0.00192191,0.00192191
30,828.936,1.50224,1.23201,0.01888,0.81342,0.70852,0.784,0.41912,1.60922,1.1004,0.02201,0.00191632,0.00191632,0.00191632
31,855.827,1.45094,1.22897,0.01812,0.76372,0.71749,0.76268,0.43256,1.55907,1.08905,0.02173,0.00191054,0.00191054,0.00191054
32,882.421,1.44708,1.19871,0.01757,0.8334,0.72646,0.81933,0.45051,1.56566,0.98208,0.02097,0.00190457,0.00190457,0.00190457
33,908.972,1.44053,1.22729,0.01811,0.8294,0.70852,0.81177,0.46213,1.53647,0.96486,0.02109,0.00189842,0.00189842,0.00189842
34,935.771,1.46331,1.21287,0.01808,0.76968,0.67437,0.75297,0.43855,1.55856,1.09728,0.02194,0.0018921,0.0018921,0.0018921
35,962.336,1.45002,1.15323,0.01785,0.7846,0.73506,0.80035,0.42189,1.64642,1.05139,0.02269,0.00188559,0.00188559,0.00188559
