x,y,z
5.145000029476610309e-02,6.653766960725975288e-01,2.346316002111358545e-01
1.114066760755007546e-01,-1.840757794457934748e+00,2.073531764555039958e-01
5.332559353614062247e-02,6.628361494739524185e-01,2.493910816656444429e-01
1.089844821369570227e-01,-1.854495661546451624e+00,2.330619253967128601e-01
5.910310966246016401e-02,6.591162517934945342e-01,2.569321427935266633e-01
1.045828249200711491e-01,-1.858435698611630160e+00,2.706351538290271419e-01
7.211642465516154843e-02,6.570763416038004623e-01,2.694778988924667606e-01
1.102611905206990206e-01,-1.860604327105090050e+00,2.818483170995606524e-01
9.204859961725719852e-02,6.567958053234668192e-01,2.767281250989542252e-01
1.152661817461389238e-01,6.625515214429136268e-01,2.873349698187089851e-01
-1.792134353685896242e+00,1.558756870895483364e-02,3.348096082737645474e-01
1.365144276434695214e-01,6.596234154845682651e-01,2.936589282090235065e-01
1.548836606521524772e-01,6.628689508500085203e-01,2.998435669628903844e-01
1.814121150827985862e-01,-1.838990047526763316e+00,2.985044080112726483e-01
1.710448124121714819e-01,6.587890298663858779e-01,3.059599100294647656e-01
2.135532174088472790e-01,-1.826842230114018140e+00,3.008340039761430718e-01
1.880807395621826583e-01,6.590723885943082783e-01,3.104993860673445627e-01
2.470173012986174865e-01,-1.840232780939820678e+00,3.101105021939482564e-01
2.004374692951114423e-01,6.622618172393118785e-01,3.153428111372768572e-01
2.203009800346515112e-01,6.605902270592133307e-01,3.208507747179790148e-01
2.986730993723885064e-01,-1.849185347929899859e+00,3.231689849278295279e-01
2.352657836382843204e-01,6.652591320059856317e-01,3.241795209108662146e-01
3.132497935288499069e-01,-1.826515364908492201e+00,3.189497285641867408e-01
2.525564101319155430e-01,6.606048286176980922e-01,3.296266636789714211e-01
3.310755594493009490e-01,-1.839149134213769798e+00,3.215107226462965428e-01
2.692547668801721916e-01,6.567405228408191853e-01,3.326493848621727700e-01
2.880888634494739864e-01,6.608717250992343084e-01,3.357101829291248007e-01
3.683616436637525138e-01,-1.829797729847065346e+00,3.220739461252146163e-01
3.047526282297567390e-01,6.614996342449005473e-01,3.354759200903408844e-01
3.880226960118696722e-01,-1.829081661907882905e+00,3.238611421982250382e-01
3.225429778542535653e-01,6.558365127119494264e-01,3.355455137803484145e-01
3.417768596347157128e-01,6.562045125390041367e-01,3.402515966203485953e-01
3.623018688564732526e-01,6.607923486408364688e-01,3.405887403710872174e-01
4.386631723564524687e-01,-1.827035928894521488e+00,3.399462271512792011e-01
3.821005907697252457e-01,6.617242460278085492e-01,3.423599945305912384e-01
4.509119476691155204e-01,-1.827324767766529856e+00,3.422960328641279637e-01
4.055291413765110264e-01,6.581698904470727474e-01,3.440522522456411214e-01
4.659825755676125780e-01,-1.841089720706087451e+00,3.372127820135646381e-01
4.276691173033364546e-01,6.563707185585287984e-01,3.461627381684797000e-01
4.745189380577919391e-01,-1.830180411580914823e+00,3.400331788426499413e-01
4.502119448001508095e-01,6.574521370620474148e-01,3.508972561139382385e-01
4.712752674119802254e-01,6.534594874015965393e-01,3.547893215257690858e-01
5.053277141909278125e-01,-1.810272143122686472e+00,3.420267346984471879e-01
2.304136223379684711e+00,9.677187469787118523e-02,3.465057262084997869e-01
4.921686129433777146e-01,6.546603558393406797e-01,3.542501275593718524e-01
5.108767247329816241e-01,6.537326200345967564e-01,3.530658586763513740e-01
5.310961900621268272e-01,6.596726597804022374e-01,3.538296471124920961e-01
5.751801048217946022e-01,-1.820930086520215818e+00,3.485738402958659110e-01
5.505996700239423891e-01,6.551018185546246819e-01,3.526225022839419854e-01
5.964957444106895323e-01,-1.817468256361730816e+00,3.481755950426059787e-01
5.730313522911841817e-01,6.573766447492418452e-01,3.556002329772129378e-01
6.203784723542185020e-01,-1.814156394117306226e+00,3.474339600927300875e-01
5.915218814158877958e-01,6.556914542339756791e-01,3.574831478836086318e-01
6.402594987568316354e-01,-1.812809612246982338e+00,3.480954198144550205e-01
2.308377362478272410e+00,1.224968755674467058e-01,3.514999692408345422e-01
6.144640736431254968e-01,6.509078620398588422e-01,3.562796960169254401e-01
6.385935399232361975e-01,6.556851628883011429e-01,3.566492606357302142e-01
6.761628111770234817e-01,-1.813020859943230256e+00,3.503150130259213291e-01
6.616957702301800026e-01,6.544636425562113669e-01,3.583676050071954444e-01
6.861360652964133555e-01,-1.814406608751142791e+00,3.517832153894773772e-01
6.909495590793810482e-01,6.528637125597792634e-01,3.588194405487385441e-01
2.310835931716249014e+00,9.755743943895701931e-02,3.535201219101766767e-01
7.198987924558024609e-01,6.499729490808086041e-01,3.581597541979760768e-01
2.313985545767296426e+00,8.127246318396322278e-02,3.498422871850097593e-01
7.504264522771245671e-01,6.540766748992196122e-01,3.583761379047711304e-01
2.305795900344843830e+00,6.479155002900396920e-02,3.525519105557152200e-01
7.744055324221250647e-01,6.516415783651622329e-01,3.606483770916895648e-01
2.315406588838415658e+00,5.400739498264620769e-02,3.550692215471740187e-01
8.015609604112245989e-01,6.502247657380804124e-01,3.590861096338650582e-01
7.137324875042927452e-01,-1.825084337805990220e+00,3.333956199793692843e-01
2.318234608736796432e+00,5.010379384288429078e-02,3.526936479511634803e-01
8.234953634085794283e-01,6.504236471038471468e-01,3.537359684679727834e-01
2.317733193717706808e+00,4.993537770215769611e-02,3.565898752699648289e-01
8.440926218790379965e-01,6.480082419556185691e-01,3.519544391303486841e-01
2.315104452313817340e+00,4.957588831869767093e-02,3.502477342656625248e-01
8.658975520742276943e-01,6.485094764378700471e-01,3.522668550750669980e-01
2.326964763527677782e+00,4.720316113401549357e-02,3.470401169584125256e-01
8.880861277641004525e-01,6.473017167944787875e-01,3.528876819987760149e-01
7.909158359330423771e-01,-1.821713778816345775e+00,3.338767162394382648e-01
2.324524836734775057e+00,4.538035533421422990e-02,3.465229362471116681e-01
9.101332620107180915e-01,6.432994415558049850e-01,3.478118440736558958e-01
2.315142673667587747e+00,4.097286423849178655e-02,3.413894291985178908e-01
9.306016562788843594e-01,6.466573311213527075e-01,3.443511770834831176e-01
8.268203923623920204e-01,-1.821156878305048021e+00,3.396101842504617441e-01
2.322309296087730068e+00,3.966067039499580893e-02,3.362951752995274601e-01
