x,y,z
1.418195025515105012e+00,5.129797596834181211e-03,1.105573773384094238e-02
1.812913840707125425e-03,5.280960620238749348e-01,1.105573773384094238e-02
2.471320316841335227e-03,-3.739036976772639465e-01,1.105573773384094238e-02
1.418461653888159812e+00,3.943948721679984941e-03,8.997986093163490295e-03
2.015245851625296902e-03,5.267360423501117328e-01,8.997986093163490295e-03
2.784567626553404156e-03,-3.752636295700096936e-01,8.997986093163490295e-03
1.414985849903617865e+00,4.397248986162600667e-03,9.426978416740894318e-03
1.544291098830948786e-03,5.272050146548585836e-01,9.426978416740894318e-03
2.303557253769048224e-03,-3.727946650755877833e-01,9.426978416740894318e-03
1.415290095183215024e+00,4.626276212478212455e-03,9.683014824986457825e-03
1.822600423058338102e-03,5.273639171533677228e-01,9.683014824986457825e-03
2.626517629736336516e-03,-3.726357238005188477e-01,9.683014824986457825e-03
1.415272038224021811e+00,3.615021466566166724e-03,1.153558958321809769e-02
1.786749737646754245e-03,5.263045461679791703e-01,1.153558958321809769e-02
2.621303888697257885e-03,-3.736950668982537693e-01,1.153558958321809769e-02
1.415323397609078659e+00,3.794776938799138827e-03,9.125498123466968536e-03
1.833568027031967423e-03,5.264720211996496424e-01,9.125498123466968536e-03
2.675941413306138703e-03,-3.735275845819741036e-01,9.125498123466968536e-03
1.407559882623337311e+00,3.906126950448847879e-03,9.872466325759887695e-03
2.037039576673149374e-03,5.234939806133518392e-01,9.872466325759887695e-03
2.936424298457117506e-03,-3.715055674910716643e-01,9.872466325759887695e-03
1.407246502421059420e+00,4.777037288760639135e-03,1.081877201795578003e-02
1.727640050637924314e-03,5.243756588428946097e-01,1.081877201795578003e-02
2.620168056063572164e-03,-3.706238961255755027e-01,1.081877201795578003e-02
1.407229084818891307e+00,4.058940430612623280e-03,1.020591333508491516e-02
1.655133578390988788e-03,5.235085218089864378e-01,1.020591333508491516e-02
2.642564806438260378e-03,-3.714909334866968171e-01,1.020591333508491516e-02
1.407170245768168737e+00,5.435345587334836429e-03,1.054518669843673706e-02
1.634993561186937148e-03,5.249896303386553109e-01,1.054518669843673706e-02
2.555753978039357853e-03,-3.700098960300768347e-01,1.054518669843673706e-02
1.407188396072272640e+00,4.737601833025878451e-03,1.085384748876094818e-02
1.666875291499966697e-03,5.243290323071089221e-01,1.085384748876094818e-02
2.563982394022480682e-03,-3.706705180831952329e-01,1.085384748876094818e-02
1.399440660981184470e+00,4.787611363024156519e-03,9.449918754398822784e-03
1.893747048364804661e-03,5.223130922399101816e-01,9.449918754398822784e-03
2.840335762698138408e-03,-3.746864083005337909e-01,9.449918754398822784e-03
1.399217335296161879e+00,4.670905330496265273e-03,9.426635690033435822e-03
1.634152832343126107e-03,5.220984346467327786e-01,9.426635690033435822e-03
2.643609817270328559e-03,-3.749009973467304913e-01,9.426635690033435822e-03
1.399437812531047820e+00,4.932750350124011016e-03,8.710992522537708282e-03
1.845318614424102614e-03,5.223351285316627513e-01,8.710992522537708282e-03
